Name,GLIMS,RGI60.01,Region,LonCenter,LatCenter,LonMin,LonMax,LatMin,LatMax,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
Margerie,G222734E58943N,20891,Terminus,-137.065,59.042,-137.1,-137.043,59.026,59.055,-137.0999444802902,59.025089518606336,-137.04128095414362,59.026027095940115,-137.04305404954465,59.055910019125456,-137.10176844180705,59.05497133848375,-137.0999444802902,59.025089518606336
Johns Hopkins,G222806E58769N,20734,Terminus,-137.118,58.836,-137.148,-137.091,58.824,58.846,-137.14794214180108,58.823064943981386,-137.08967596115676,58.82402144293855,-137.09105635327563,58.84693471126256,-137.1493609519853,58.84597735267361,-137.14794214180108,58.823064943981386
Gilman,G222960E58793N,20830,Terminus,-137.111,58.833,-137.12,-137.087,58.823,58.841,-137.11996718948023,58.822462719866614,-137.08591883157015,58.823017477433055,-137.08703231346604,58.84153711330202,-137.12109881374232,58.840981952815866,-137.11996718948023,58.822462719866614
Lamplugh,G223085E58780N,20470,Terminus,-136.936,58.894,-136.954,-136.916,58.885,58.903,-136.95396792381592,58.88443147758675,-136.9150049008643,58.885014750161005,-136.91603146576145,58.903568345639336,-136.95501534328,58.90298464816977,-136.95396792381592,58.88443147758675
Grand Pacific,G222647E59132N,26732,Terminus,-137.100,59.088,-137.175,-137.004,59.045,59.13,-137.17482593756606,59.0422459295311,-136.9990523071779,59.04507640701343,-137.00416069860353,59.13274996611511,-137.18038267065558,59.129909696924635,-137.17482593756606,59.0422459295311
Ferris,G222682E59041N,21008,Terminus,-137.056,59.057,-137.112,-137.004,59.045,59.074,-137.11189485466048,59.04328674595482,-137.00231246700204,59.045026081755296,-137.00409984307012,59.07571243686383,-137.1137798772102,59.073970998491724,-137.11189485466048,59.04328674595482
Alsek,G222077E59292N,23654,Terminus,-138.05,59.205,-138.219,-137.985,59.15,59.248,-138.21847562886916,59.1444200563795,-137.97647223522162,59.15019583263585,-137.98548746625673,59.25357077796689,-138.22822086401152,59.24777138682637,-138.21847562886916,59.1444200563795
Grand Plateau,G222265E59003N,20985,Terminus,-138.0,59.055,-138.197,-137.866,58.954,59.109,-138.19628307045613,58.946257857687655,-137.8531450594616,58.95428422450532,-137.86664519584235,59.11672201575703,-138.2114003980476,59.108644188660676,-138.19628307045613,58.946257857687655
Lituya,G222577E58708N,21005,Terminus,-137.527,58.695,-137.603,-137.466,58.661,58.744,-137.60279919974735,58.65830523880597,-137.46014592615748,58.661112065025115,-137.46619060827155,58.74669096971839,-137.60919344508443,58.74387473368361,-137.60279919974735,58.65830523880597
Crillon,G222688E58674N,21055,Terminus,-137.44,58.637,-137.511,-137.395,58.621,58.678,-137.51084139300707,58.6187899428171,-137.3911020084731,58.62107254828434,-137.39515149017092,58.68020796267452,-137.51509315251982,58.67792007717549,-137.51084139300707,58.6187899428171
South Crillon,G222718E58631N,23660,Terminus,-137.39,58.605,-137.43,-137.335,58.531,58.63,-137.42987814003243,58.529239114544325,-137.32842098878405,58.531119497935585,-137.3351173597037,58.63175786391032,-137.43686560605641,58.6298700814192,-137.42987814003243,58.529239114544325
Brady,G223175E58567N,20796,Terminus,-136.622,58.345,-136.723,-136.57,58.325,58.407,-136.7229042499941,58.323032239170104,-136.56636453603403,58.32504455956634,-136.570087415224,58.40896505735303,-136.7269987573886,58.40694616162463,-136.7229042499941,58.323032239170104
